model,tool,time,value,#c,#d
"timeseries96","pymc",to,"","",""
"timeseries11","pymc",to,"","",""
"timeseries4","pymc","586.28201","2.3739","","",""
"timeseries61","pymc",to,"","",""
"timeseries21","pymc",to,"","",""
"timeseries81","pymc",to,"","",""
"timeseries2","pymc","246.2848","2.05479","","",""
"timeseries1","pymc","294.05696","0.99289","","",""
"timeseries5","pymc",to,"","",""
"timeseries41","pymc",to,"","",""
"timeseries3","pymc","513.22555","2.00353","","",""
"timeseries41","soga","0.259","6.57529","2","45"
"timeseries61","soga","0.509","6.62224","2","65"
"timeseries5","soga","0.064","2.87916","2","9"
"timeseries11","soga","0.087","5.34735","2","15"
"timeseries1","soga","0.129","0.99768","2","5"
"timeseries81","soga","0.255","6.62785","2","85"
"timeseries96","soga","0.946","6.62846","2","100"
"timeseries3","soga","0.055","1.99895","2","7"
"timeseries21","soga","0.103","6.18485","2","25"
"timeseries4","soga","0.068","2.36094","2","8"
"timeseries2","soga","0.063","2.04783","2","6"
